Rvote,Dvote,Pvote,party,Ovote,SNSPA,Republican,Democrat,Rep or Dem,Independent,No Party,Other,male,vote,Cons.com,Share,Discuss,Brag,Fact Check,Campaign info on SNS,Discover who your friends voted for on SNS,Friend of candidate or political group on SNS,Post content related to a candidate or campaign,Join a political group on SNS,Start a political group on SNS,Get campaign info from Twitter,Follow on Twitter,Include politica links on Twitter,Follow election results on Twitter,View Affirming,View Neutral,View Disconfirming,How liberal,Ideological intensity ,age,educ,empl,hisp,black,inc,Use SNS,weight
NA,NA,NA,0,NA,0,0,0,0,0,1,0,1,0,0,0,0,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,4,2,2,5,1,0,1,1,1,9.36
0,1,0,0,0,NA,0,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,3,0,0,1,1,0,7.56
NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,3,9,3,1,NA,NA,NA,0,5.44
0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,3,3,0,0,0,6,1,5
NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,0,0,6,1,4.92
1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,2,6,6,1,0,0,8,0,2.56
NA,NA,NA,0,NA,0,0,0,0,1,0,0,1,0,NA,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,2,4,6,0,0,0,NA,0,4.2
1,0,0,0,0,1,0,0,0,1,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,2,2,9,3,0,0,0,7,1,2.92
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,7,7,0,0,0,2,0,3.24
0,1,1,1,0,NA,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,0,0,1,NA,0,4.56
NA,NA,NA,1,NA,0,1,0,1,0,0,0,0,0,NA,0,0,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,2,2,5,7,1,0,0,9,1,1.6
NA,NA,NA,1,NA,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,2,2,6,7,0,0,0,4,1,3.36
0,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,1,1,0,8,0,4.52
NA,NA,NA,1,NA,0,1,0,1,0,0,0,1,0,0,0,0,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,2,2,2,5,1,0,0,6,1,10.56
0,1,1,1,0,NA,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,3,1,0,0,5,0,8.2
NA,NA,NA,0,NA,NA,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,2,1,0,0,7,0,2.76
1,0,1,1,0,NA,1,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,6,1,0,0,6,0,6.12
NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,5,1,0,0,NA,0,4.6
1,0,1,1,0,NA,1,0,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,3,0,0,0,3,0,3.08
1,0,0,0,0,NA,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,7,3,0,0,0,4,0,2.28
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,1,3,5,3,1,0,0,NA,1,5
1,0,1,1,0,0,1,0,1,0,0,0,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,5,1,0,0,6,0,2.08
1,0,1,1,0,NA,1,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,0,0,0,5,0,4.04
0,1,1,1,0,NA,0,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,1,0,0,1,0,10.72
NA,NA,NA,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,0,1,0,2,2,1,5,0,0,0,1,1,4.24
NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,1,0,0,NA,1,3.24
1,0,0,0,0,NA,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,3,0,0,0,7,0,3
NA,NA,NA,1,NA,0,0,1,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,4,2,6,6,1,0,0,7,1,1.28
NA,NA,NA,0,NA,0,0,0,0,1,0,0,1,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,3,1,0,0,3,0,8.64
NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,2,3,6,1,0,0,NA,1,3.88
NA,NA,NA,1,NA,0,0,1,1,0,0,0,1,0,NA,0,1,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,4,2,3,5,1,1,0,6,1,5.96
1,0,0,0,0,0,0,0,0,1,0,0,1,1,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,5,0,0,0,3,0,2.72
1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,2,5,6,1,0,0,6,0,3.56
NA,NA,NA,0,NA,NA,0,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,1,0,0,1,NA,0,3.6
NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,2,4,3,0,1,0,NA,1,8.48
0,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,1,3,1,3,0,0,1,1,1,5.64
NA,NA,NA,0,NA,0,0,0,0,1,0,0,1,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,0,0,3,0,6.96
NA,NA,NA,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,3,1,4,3,0,1,0,4,0,5
NA,NA,NA,1,NA,0,0,1,1,0,0,0,1,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,1,5,0,0,0,NA,0,3.88
0,1,1,1,0,0,0,1,1,0,0,0,1,1,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,7,3,0,0,0,NA,0,2.68
NA,NA,NA,1,NA,0,1,0,1,0,0,0,1,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,3,1,6,4,0,0,0,2,0,2.64
NA,NA,NA,1,NA,NA,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,6,0,1,0,2,0,3.48
NA,NA,NA,0,NA,0,0,0,0,0,1,0,1,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,0,5,0,5
NA,NA,NA,0,NA,0,0,0,0,1,0,0,1,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,3,0,0,0,3,0,4.16
